# 24-hour MPA fishing-entry forecast for 2024-08-12. 1879 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 367104040 (KNOX T), 1.0 km from Naples SMCA with a risk score of 1.00, driven by: prior_mpa_entries; traffic_within_10km; dist_to_mpa_m.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
338207261,TRUE GRIT,0.68,Bolsa Bay SMCA,1327.705,0.0,360.0,False,8.0,0.0,prior_mpa_entries; peak_hour; traffic_within_10km,2024-08-12 00:00:51,33.723,-118.063
367035570,AMERICAN ISLANDER,0.676,Abalone Cove SMCA,1510.057,1.9,94.4,False,7.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 18:00:05,33.694,-118.359
368128940,KANANI,0.671,Blue Cavern Offshore SMCA,4671.231,6.2,40.5,False,10.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 00:00:05,33.543,-118.435
366937060,ET VOILA,0.67,Bolsa Bay SMCA,6474.464,0.0,360.0,False,8.0,0.0,prior_mpa_entries; peak_hour; cog,2024-08-12 00:05:58,33.752,-118.111
338455077,KEEPING IT REEL,0.669,Casino Point SMCA (No-Take),266.686,0.0,176.0,False,9.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 12:00:20,33.346,-118.325
367332440,WESTWIND,0.665,Natural Bridges SMR,5258.301,0.0,360.0,False,5.0,0.0,traffic_within_10km; prior_mpa_entries; peak_hour,2024-08-12 13:26:19,36.967,-122.003
368269920,SPITFIRE,0.664,Upper Newport Bay SMCA,1535.291,3.2,87.1,False,10.0,0.0,sog; prior_mpa_entries; peak_hour,2024-08-12 00:00:00,33.601,-117.891
338842000,GRASP,0.663,South La Jolla SMCA,7448.29,6.4,337.9,False,0.0,0.0,sog; traffic_within_10km; peak_hour,2024-08-12 06:00:04,32.756,-117.396
338400066,BLUTOPIA,0.663,Arrow Point to Lion Head Point SMCA,279.916,0.0,360.0,True,5.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 00:02:50,33.45,-118.501
227773360,CHARLY,0.66,Abalone Cove SMCA,8664.53,0.0,348.0,False,9.0,0.0,prior_mpa_entries; peak_hour; wave_height_m,2024-08-12 18:00:22,33.717,-118.282
